         11712202430 function calls (11424169438 primitive calls) in 43014.864 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000 42949.198 42949.198 Experiment.py:180(run)
       15    0.006    0.000 28383.234 1892.216 Experiment.py:173(train)
       15   71.686    4.779 28383.228 1892.215 experiment_4.py:27(train)
   509592   25.126    0.000 26897.169    0.053 training.py:126(_method_wrapper)
   509592   57.960    0.000 26484.745    0.052 training.py:1486(predict)
1538113/1538081   38.834    0.000 17884.331    0.012 def_function.py:757(__call__)
1538113/1538081   13.081    0.000 17778.799    0.012 def_function.py:798(_call)
1538104/1538072   11.662    0.000 17762.796    0.012 function.py:2825(__call__)
  1538113   14.041    0.000 17401.586    0.011 function.py:1827(_filtered_call)
  1538121   33.854    0.000 17348.363    0.011 function.py:1850(_call_flat)
  1538121   60.244    0.000 17201.413    0.011 function.py:509(call)
  1538033   13.703    0.000 17128.368    0.011 execute.py:33(quick_execute)
  1538033 17111.382    0.011 17111.382    0.011 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
   509607   19.580    0.000 15809.794    0.031 data_adapter.py:1073(__init__)
   509607   22.267    0.000 15623.474    0.031 data_adapter.py:254(__init__)
       16    9.227    0.577 14064.461  879.029 Experiment.py:161(play_episode)
   269525   12.921    0.000 13937.057    0.052 Experiment.py:82(move)
       15    0.016    0.001 13642.091  909.473 function_base.py:2063(__call__)
       15    7.969    0.531 13642.075  909.472 function_base.py:2154(_vectorize_call)
   253314   17.876    0.000 13634.102    0.054 Experiment.py:101(Q)
  1528821   65.089    0.000 13624.694    0.009 dataset_ops.py:3186(__init__)
3068683/3068411   52.047    0.000 13411.638    0.004 function.py:3147(_maybe_define_function)
       15    0.000    0.000 13275.829  885.055 training.py:106(_method_wrapper)
       15   19.253    1.284 13275.828  885.055 training.py:824(fit)
  1528821    6.678    0.000 13182.486    0.009 function.py:2931(get_concrete_function)
1530521/1530457   31.845    0.000 13175.755    0.009 function.py:2870(_get_concrete_function_garbage_collected)
1528944/1528904   33.287    0.000 12907.633    0.008 function.py:3047(_create_graph_function)
1528944/1528904  111.584    0.000 12013.718    0.008 func_graph.py:801(func_graph_from_py_func)
  1019214    3.883    0.000 7430.618    0.007 dataset_ops.py:1557(map)
   509607    1.758    0.000 7149.253    0.014 dataset_ops.py:1704(flat_map)
   509607   19.542    0.000 7147.495    0.014 dataset_ops.py:4119(__init__)
  1528821   10.838    0.000 6507.607    0.004 dataset_ops.py:3358(wrapper_fn)
  1528821   18.866    0.000 6427.096    0.004 dataset_ops.py:3292(_wrapper_helper)
1528850/1528824   13.097    0.000 6195.309    0.004 api.py:247(wrapper)
1528870/1528828   27.086    0.000 6166.827    0.004 api.py:417(converted_call)
  8666192 6033.391    0.001 6069.568    0.001 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
1528861/1528832    6.916    0.000 5819.078    0.004 api.py:330(_call_unconverted)
5607150/5607014  503.200    0.000 5218.660    0.001 op_def_library.py:299(_apply_op_helper)
6635946/5098271   13.462    0.000 5196.906    0.001 dispatch.py:198(wrapper)
  1020189    9.510    0.000 4999.109    0.005 data_adapter.py:1135(enumerate_epochs)
 23217677    9.816    0.000 4992.881    0.000 {built-in method builtins.iter}
   509607    3.014    0.000 4983.065    0.010 dataset_ops.py:403(__iter__)
   509613    7.481    0.000 4979.297    0.010 iterator_ops.py:648(__init__)
   509607   17.673    0.000 4956.250    0.010 iterator_ops.py:700(_create_iterator)
   509607    3.152    0.000 4613.383    0.009 gen_dataset_ops.py:2987(make_iterator)
12232980/12232792  128.265    0.000 4074.455    0.000 func_graph.py:528(_create_op_internal)
   509607   19.450    0.000 3959.985    0.008 dataset_ops.py:4031(__init__)
   509607    8.693    0.000 3915.963    0.008 data_adapter.py:373(slice_inputs)
 12233192  163.570    0.000 3899.871    0.000 ops.py:3418(_create_op_internal)
   509607   10.708    0.000 3825.477    0.008 data_adapter.py:330(slice_batch_indices)
   509607   19.311    0.000 3466.750    0.007 dataset_ops.py:4069(__init__)
 12233596  309.291    0.000 2606.877    0.000 ops.py:1839(__init__)
24480758/24480512   89.545    0.000 2571.280    0.000 ops.py:1448(convert_to_tensor)
  9182015   18.882    0.000 2309.667    0.000 constant_op.py:166(constant)
  9182015   99.438    0.000 2290.785    0.000 constant_op.py:267(_constant_impl)
  1528944  113.365    0.000 2232.615    0.001 auto_control_deps.py:301(__exit__)
  8714949   66.104    0.000 2023.946    0.000 nest.py:573(map_structure)
 12233654   75.777    0.000 1919.558    0.000 auto_control_deps.py:519(_get_resource_inputs)
  1019214    3.262    0.000 1804.926    0.002 array_ops.py:1028(slice)
  1019214   10.507    0.000 1801.664    0.002 gen_array_ops.py:9212(_slice)
  8714949   14.777    0.000 1768.715    0.000 nest.py:635(<listcomp>)
 12232924   75.098    0.000 1608.599    0.000 auto_control_deps_utils.py:89(get_read_write_resource_inputs)
82762666/81749069 1439.263    0.000 1565.479    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
 77924821   42.645    0.000 1476.914    0.000 <__array_function__ internals>:2(concatenate)
   506606    1.035    0.000 1333.647    0.003 <__array_function__ internals>:2(vstack)
   506606    2.402    0.000 1327.881    0.003 shape_base.py:224(vstack)
  2548141    2.852    0.000 1249.348    0.000 constant_op.py:335(_constant_tensor_conversion_function)
   509607    2.719    0.000 1204.591    0.002 data_adapter.py:315(permutation)
   509609    9.577    0.000 1200.248    0.002 math_ops.py:1731(range)
 12233192  193.927    0.000 1152.638    0.000 ops.py:1764(_create_c_op)
  3057888   67.144    0.000 1143.609    0.000 func_graph.py:1148(_get_defun_inputs)
 16312376  101.945    0.000 1140.556    0.000 ops.py:2471(get_attr)
  1528944    3.460    0.000 1109.665    0.001 func_graph.py:1136(_get_defun_inputs_from_args)
