         795217975 function calls (775869203 primitive calls) in 2165.673 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001 2163.640 2163.640 Experiment.py:180(run)
    34758    1.837    0.000 1765.765    0.051 training.py:126(_method_wrapper)
    34758    4.479    0.000 1736.487    0.050 training.py:1486(predict)
       20    0.003    0.000 1357.161   67.858 Experiment.py:173(train)
       20    0.704    0.035 1357.158   67.858 experiment_2.py:27(train)
    34778    1.494    0.000 1176.536    0.034 data_adapter.py:1073(__init__)
    34778    1.671    0.000 1162.464    0.033 data_adapter.py:254(__init__)
       20    0.002    0.000 1055.069   52.753 function_base.py:2063(__call__)
       20    0.608    0.030 1055.067   52.753 function_base.py:2154(_vectorize_call)
    20329    1.528    0.000 1054.457    0.052 Experiment.py:101(Q)
   104334    4.891    0.000 1004.969    0.010 dataset_ops.py:3186(__init__)
205930/205670    3.932    0.000  991.478    0.005 function.py:3147(_maybe_define_function)
106289/106229    2.400    0.000  971.850    0.009 function.py:2870(_get_concrete_function_garbage_collected)
   104334    0.568    0.000  971.476    0.009 function.py:2931(get_concrete_function)
104468/104428    2.511    0.000  952.855    0.009 function.py:3047(_create_graph_function)
104468/104428    8.367    0.000  881.454    0.008 func_graph.py:801(func_graph_from_py_func)
       21    0.640    0.030  767.949   36.569 Experiment.py:161(play_episode)
    21201    0.819    0.000  758.234    0.036 Experiment.py:82(move)
    69556    0.348    0.000  552.991    0.008 dataset_ops.py:1557(map)
    34778    0.135    0.000  531.203    0.015 dataset_ops.py:1704(flat_map)
    34778    1.563    0.000  531.068    0.015 dataset_ops.py:4119(__init__)
   104334    0.857    0.000  478.501    0.005 dataset_ops.py:3358(wrapper_fn)
   104334    1.639    0.000  472.513    0.005 dataset_ops.py:3292(_wrapper_helper)
104371/104338    1.047    0.000  455.660    0.004 api.py:247(wrapper)
   593770  452.214    0.001  454.826    0.001 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
104397/104343    2.024    0.000  453.417    0.004 api.py:417(converted_call)
104385/104348    0.554    0.000  428.186    0.004 api.py:330(_call_unconverted)
99590/99560    2.788    0.000  412.499    0.004 def_function.py:757(__call__)
99590/99560    1.008    0.000  404.972    0.004 def_function.py:798(_call)
99579/99549    0.829    0.000  403.051    0.004 function.py:2825(__call__)
384107/383976   38.611    0.000  383.934    0.001 op_def_library.py:299(_apply_op_helper)
458618/350015    1.117    0.000  383.888    0.001 dispatch.py:198(wrapper)
    99590    0.972    0.000  375.079    0.004 function.py:1827(_filtered_call)
    99600    2.311    0.000  371.355    0.004 function.py:1850(_call_flat)
    70536    0.866    0.000  368.107    0.005 data_adapter.py:1135(enumerate_epochs)
  1569904    0.721    0.000  367.450    0.000 {built-in method builtins.iter}
    34778    0.222    0.000  366.724    0.011 dataset_ops.py:403(__iter__)
    34787    0.515    0.000  366.450    0.011 iterator_ops.py:648(__init__)
    34778    1.552    0.000  364.754    0.010 iterator_ops.py:700(_create_iterator)
    99600    4.563    0.000  361.154    0.004 function.py:509(call)
    99480    1.092    0.000  355.294    0.004 execute.py:33(quick_execute)
    99480  353.935    0.004  353.935    0.004 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
    34778    0.271    0.000  339.629    0.010 gen_dataset_ops.py:2987(make_iterator)
837189/836994    8.842    0.000  299.709    0.000 func_graph.py:528(_create_op_internal)
    34778    0.670    0.000  297.224    0.009 data_adapter.py:373(slice_inputs)
       20    0.005    0.000  291.013   14.551 training.py:106(_method_wrapper)
       20    1.282    0.064  290.920   14.546 training.py:824(fit)
    34778    1.457    0.000  288.292    0.008 dataset_ops.py:4031(__init__)
   837414   12.170    0.000  287.831    0.000 ops.py:3418(_create_op_internal)
    34778    0.839    0.000  281.693    0.008 data_adapter.py:330(slice_batch_indices)
    34778    1.573    0.000  264.351    0.008 dataset_ops.py:4069(__init__)
1679793/1679557    6.505    0.000  192.492    0.000 ops.py:1448(convert_to_tensor)
   837414   22.485    0.000  191.243    0.000 ops.py:1839(__init__)
   630457    1.439    0.000  174.271    0.000 constant_op.py:166(constant)
   630457    7.614    0.000  172.832    0.000 constant_op.py:267(_constant_impl)
   104468    8.262    0.000  156.337    0.001 auto_control_deps.py:301(__exit__)
592463/588413    4.538    0.000  150.430    0.000 nest.py:573(map_structure)
    69555    0.207    0.000  136.133    0.002 array_ops.py:1028(slice)
    69555    0.815    0.000  135.926    0.002 gen_array_ops.py:9212(_slice)
   837889    5.442    0.000  133.884    0.000 auto_control_deps.py:519(_get_resource_inputs)
592463/588413    1.112    0.000  131.605    0.000 nest.py:635(<listcomp>)
   837168    5.265    0.000  111.772    0.000 auto_control_deps_utils.py:89(get_read_write_resource_inputs)
   173942    0.210    0.000   95.523    0.001 constant_op.py:335(_constant_tensor_conversion_function)
   208936    4.783    0.000   87.114    0.000 func_graph.py:1148(_get_defun_inputs)
    34778    0.227    0.000   85.518    0.002 data_adapter.py:315(permutation)
    34781    0.717    0.000   85.147    0.002 math_ops.py:1731(range)
   837414   14.105    0.000   85.037    0.000 ops.py:1764(_create_c_op)
   104468    0.266    0.000   84.612    0.001 func_graph.py:1136(_get_defun_inputs_from_args)
  1117896    7.400    0.000   84.142    0.000 ops.py:2471(get_attr)
   421626    0.728    0.000   78.741    0.000 tensor_conversion_registry.py:50(_default_conversion_function)
   104468    2.615    0.000   68.130    0.001 function.py:1460(__init__)
9048188/5743310    6.876    0.000   67.303    0.000 {built-in method builtins.next}
   140015    3.646    0.000   67.266    0.000 graph_only_ops.py:29(graph_placeholder)
   104488    0.617    0.000   62.729    0.001 func_graph.py:930(convert)
  1117896   53.849    0.000   61.637    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationGetAttrValueProto}
   104488    0.937    0.000   60.900    0.001 auto_control_deps.py:182(mark_as_return)
   141816    0.927    0.000   59.928    0.000 array_ops.py:244(identity)
    34778    0.130    0.000   58.223    0.002 data_adapter.py:393(grab_batch)
   141816    1.052    0.000   57.512    0.000 gen_array_ops.py:3973(identity)
    34798    0.206    0.000   57.399    0.002 data_adapter.py:394(<lambda>)
    34798    0.318    0.000   57.063    0.002 array_ops.py:4589(gather)
    34798    0.626    0.000   56.456    0.002 gen_array_ops.py:3790(gather_v2)
   104468    0.989    0.000   53.157    0.001 function.py:597(__init__)
4872959/3221535    2.675    0.000   51.592    0.000 contextlib.py:79(__enter__)
   104468    7.378    0.000   51.457    0.000 function.py:412(__init__)
    69555    0.213    0.000   46.487    0.001 dataset_ops.py:569(from_tensors)
    69555    0.973    0.000   46.275    0.001 dataset_ops.py:2980(__init__)
   313162   11.305    0.000   45.620    0.000 tensor_util.py:360(make_tensor_proto)
   976838    7.657    0.000   42.300    0.000 func_graph.py:365(inner_cm)
