         471272881 function calls (457851614 primitive calls) in 1458.056 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.001    0.001 1457.374  728.687 Experiment.py:187(run)
       50    0.002    0.000 1037.040   20.741 Experiment.py:180(train)
       50    0.175    0.003 1037.038   20.741 Experiment.py:113(train)
    19264    0.889    0.000  980.424    0.051 training.py:126(_method_wrapper)
    19264    2.335    0.000  962.180    0.050 training.py:1486(predict)
       50    0.001    0.000  627.144   12.543 function_base.py:2063(__call__)
       50    0.293    0.006  627.143   12.543 function_base.py:2154(_vectorize_call)
    12705    0.861    0.000  626.845    0.049 Experiment.py:101(Q)
    19314    0.748    0.000  571.562    0.030 data_adapter.py:1073(__init__)
51724/51628    1.391    0.000  566.960    0.011 def_function.py:757(__call__)
    19314    0.894    0.000  563.958    0.029 data_adapter.py:254(__init__)
51724/51628    0.534    0.000  562.934    0.011 def_function.py:798(_call)
51699/51603    0.388    0.000  561.066    0.011 function.py:2825(__call__)
    51724    0.492    0.000  547.695    0.011 function.py:1827(_filtered_call)
    51748    1.146    0.000  545.904    0.011 function.py:1850(_call_flat)
    51748    2.563    0.000  540.264    0.010 function.py:509(call)
    51388    0.569    0.000  537.143    0.010 execute.py:33(quick_execute)
    51388  536.384    0.010  536.384    0.010 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
    57942    2.472    0.000  486.525    0.008 dataset_ops.py:3186(__init__)
115031/114215    1.983    0.000  482.820    0.004 function.py:3147(_maybe_define_function)
63162/62970    1.170    0.000  471.396    0.007 function.py:2870(_get_concrete_function_garbage_collected)
    57942    0.248    0.000  469.175    0.008 function.py:2931(get_concrete_function)
58306/58186    1.421    0.000  463.854    0.008 function.py:3047(_create_graph_function)
58306/58186    3.732    0.000  426.365    0.007 func_graph.py:801(func_graph_from_py_func)
       50    0.001    0.000  406.695    8.134 training.py:106(_method_wrapper)
       50    0.672    0.013  406.692    8.134 training.py:824(fit)
       52    0.334    0.006  385.117    7.406 Experiment.py:167(play_episode)
    13530    0.385    0.000  378.470    0.028 Experiment.py:82(move)
    38628    0.173    0.000  273.816    0.007 dataset_ops.py:1557(map)
    19314    0.065    0.000  253.473    0.013 dataset_ops.py:1704(flat_map)
    19314    0.795    0.000  253.408    0.013 dataset_ops.py:4119(__init__)
   333466  235.961    0.001  237.168    0.001 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
    57942    0.404    0.000  224.531    0.004 dataset_ops.py:3358(wrapper_fn)
    57942    0.786    0.000  221.666    0.004 dataset_ops.py:3292(_wrapper_helper)
57985/57946    0.550    0.000  214.016    0.004 api.py:247(wrapper)
58032/57958    1.092    0.000  212.614    0.004 api.py:417(converted_call)
58013/57970    0.268    0.000  198.914    0.003 api.py:330(_call_unconverted)
    40516    0.444    0.000  188.909    0.005 data_adapter.py:1135(enumerate_epochs)
  1002938    0.344    0.000  188.569    0.000 {built-in method builtins.iter}
    19314    0.135    0.000  188.225    0.010 dataset_ops.py:403(__iter__)
    19323    0.298    0.000  188.060    0.010 iterator_ops.py:648(__init__)
    19314    0.812    0.000  187.200    0.010 iterator_ops.py:700(_create_iterator)
263054/197923    0.516    0.000  178.933    0.001 dispatch.py:198(wrapper)
216065/215745   17.097    0.000  177.685    0.001 op_def_library.py:299(_apply_op_helper)
    19314    0.181    0.000  175.221    0.009 gen_dataset_ops.py:2987(make_iterator)
    19314    0.336    0.000  146.580    0.008 data_adapter.py:373(slice_inputs)
469752/469188    4.356    0.000  144.056    0.000 func_graph.py:528(_create_op_internal)
    19314    0.738    0.000  142.480    0.007 dataset_ops.py:4031(__init__)
   470388    5.642    0.000  138.374    0.000 ops.py:3418(_create_op_internal)
    19314    0.810    0.000  131.163    0.007 dataset_ops.py:4069(__init__)
    19314    0.421    0.000  128.110    0.007 data_adapter.py:330(slice_batch_indices)
   470388   11.560    0.000   94.439    0.000 ops.py:1839(__init__)
947234/946639    3.148    0.000   88.615    0.000 ops.py:1448(convert_to_tensor)
   355186    0.651    0.000   79.260    0.000 constant_op.py:166(constant)
   355186    3.485    0.000   78.609    0.000 constant_op.py:267(_constant_impl)
    58306    3.918    0.000   77.530    0.001 auto_control_deps.py:301(__exit__)
326987/326459    1.877    0.000   71.089    0.000 nest.py:573(map_structure)
   471720    2.572    0.000   66.529    0.000 auto_control_deps.py:519(_get_resource_inputs)
326987/326459    0.487    0.000   62.464    0.000 nest.py:635(<listcomp>)
    38627    0.122    0.000   59.847    0.002 array_ops.py:1028(slice)
    38627    0.373    0.000   59.725    0.002 gen_array_ops.py:9212(_slice)
   469724    2.678    0.000   55.857    0.000 auto_control_deps_utils.py:89(get_read_write_resource_inputs)
   116612    2.534    0.000   43.988    0.000 func_graph.py:1148(_get_defun_inputs)
    58306    0.125    0.000   42.839    0.001 func_graph.py:1136(_get_defun_inputs_from_args)
   630717    3.685    0.000   41.824    0.000 ops.py:2471(get_attr)
   470388    6.735    0.000   41.625    0.000 ops.py:1764(_create_c_op)
    96665    0.098    0.000   41.467    0.000 constant_op.py:335(_constant_tensor_conversion_function)
    19314    0.113    0.000   40.139    0.002 data_adapter.py:315(permutation)
    19317    0.353    0.000   39.944    0.002 math_ops.py:1731(range)
   239027    0.339    0.000   37.744    0.000 tensor_conversion_registry.py:50(_default_conversion_function)
    58306    1.315    0.000   35.727    0.001 function.py:1460(__init__)
    79860    1.843    0.000   34.882    0.000 graph_only_ops.py:29(graph_placeholder)
       12    0.021    0.002   34.324    2.860 Experiment.py:220(save_status)
   630717   29.009    0.000   30.553    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationGetAttrValueProto}
5160014/3258906    3.169    0.000   30.498    0.000 {built-in method builtins.next}
    19314    0.065    0.000   28.965    0.001 data_adapter.py:393(grab_batch)
    58356    0.329    0.000   28.566    0.000 func_graph.py:930(convert)
